"","logFC","logCPM","PValue","FDR"
"Lus10011278.g.BGIv1.0",-1.15668759470041,2.00406560024409,2.21289368828495e-05,0.000190980149937334
"Lus10022638.g.BGIv1.0",1.12927209141193,1.8823654356917,2.25890773557819e-05,0.00019456504492435
"Lus10034191.g.BGIv1.0",1.79106573360586,0.685092331567474,2.29606256617224e-05,0.000197413243303151
"Lus10022289.g.BGIv1.0",1.9381824662949,0.483182921349412,2.30311946728366e-05,0.00019794168913066
"Lus10030959.g.BGIv1.0",-1.74208403466617,0.683533821448279,2.35760967455366e-05,0.00020226494999511
"Lus10008202.g.BGIv1.0",1.07448095586133,2.57701648067234,2.38215776100812e-05,0.000204250059228371
"Lus10035251.g.BGIv1.0",1.01264049109071,2.82765956048308,2.38341585318299e-05,0.000204317630750775
"Lus10004110.g.BGIv1.0",1.36081252283612,1.7065353224925,2.46979421749007e-05,0.000210941114955322
"Lus10026398.g.BGIv1.0",4.34287811532938,-0.517321974929814,2.47512116395389e-05,0.000211303990805655
"Lus10027448.g.BGIv1.0",1.3870048334423,1.64563013904658,2.49278911356303e-05,0.000212603562008433
"Lus10040653.g.BGIv1.0",-2.48519858303745,0.227335613965593,2.64135208077113e-05,0.000224087073191261
"Lus10041644.g.BGIv1.0",-1.11641905891609,2.2312204260036,2.73840107271103e-05,0.000231597340528835
"Lus10019184.g.BGIv1.0",-1.29189295783023,1.38001414357183,2.93034337493491e-05,0.000246535623866452
"Lus10041733.g.BGIv1.0",-1.30262758935494,2.0555717906729,2.96616251560537e-05,0.000249356122057399
"Lus10031234.g.BGIv1.0",-2.44034925882247,0.91338398184547,3.03342442580415e-05,0.000254469303771
"Lus10021455.g.BGIv1.0",-3.06010640020573,0.136372889778222,3.10832286826213e-05,0.000260200083586026
"Lus10033935.g.BGIv1.0",1.06893646498968,2.0064213278435,3.11118838499874e-05,0.000260389815718676
"Lus10023423.g.BGIv1.0",-1.26084872570916,1.67489600368327,3.14188450273246e-05,0.000262655502342852
"Lus10039513.g.BGIv1.0",-2.39746783787775,0.329445902253051,3.15135804568199e-05,0.000263143844801848
"Lus10007331.g.BGIv1.0",-1.17557910522347,1.99470857540334,3.17041541170361e-05,0.000264633502999554
"Lus10037840.g.BGIv1.0",-1.03971281411301,2.33885694788723,3.17301302942422e-05,0.000264799480518526
"Lus10019082.g.BGIv1.0",1.35738629739645,1.70628952738471,3.1969857493939e-05,0.000266544241488113
"Lus10038828.g.BGIv1.0",-1.64110113375027,0.744628838204497,3.21575239963101e-05,0.000268057473757162
"Lus10042535.g.BGIv1.0",-1.09604688987619,2.1381427713554,3.27179062062039e-05,0.000272154630824701
"Lus10004981.g.BGIv1.0",3.98021498168582,-0.751780968741063,3.42245463949974e-05,0.000283385763111797
"Lus10038126.g.BGIv1.0",-4.33086109889699,-0.482253144553703,3.42413514573685e-05,0.000283470917768666
"Lus10002238.g.BGIv1.0",-1.7414851647902,1.49119691583676,3.4407669099108e-05,0.00028479356119713
"Lus10023850.g.BGIv1.0",1.51454386511276,1.14855046910973,3.46078293135537e-05,0.000286286764622168
"Lus10003156.g.BGIv1.0",-1.65026955459098,0.819162382356559,3.59276660752996e-05,0.000296190322768699
"Lus10005605.g.BGIv1.0",-1.0746470740685,2.33189229386199,3.65250969370448e-05,0.00030065943740774
"Lus10024425.g.BGIv1.0",-3.93733329057044,-0.752392767050679,3.6586335413853e-05,0.000300992541024906
"Lus10011786.g.BGIv1.0",-1.38036756531926,1.56161646258419,3.66692508557762e-05,0.000301503499896245
"Lus10025697.g.BGIv1.0",-1.77652758640612,0.636679049284284,3.70180374690241e-05,0.000304083731446702
"Lus10011185.g.BGIv1.0",-3.93197502988375,-0.752279157989616,3.75955498434323e-05,0.000308477943987136
"Lus10004613.g.BGIv1.0",1.26111402883161,1.9485736830509,3.77910284694375e-05,0.000309745630299032
"Lus10013304.g.BGIv1.0",-1.14625017590818,1.99737123599552,3.83930723095964e-05,0.000314369042450644
"Lus10003339.g.BGIv1.0",-5.52314087574261,-0.981546937826588,3.84437233236644e-05,0.000314665241311055
"Lus10005178.g.BGIv1.0",-5.52052719896621,-0.981699635841538,3.87989945244205e-05,0.000317210142928331
"Lus10017707.g.BGIv1.0",1.93711566176837,0.638014960384452,3.92348344037538e-05,0.000320657545848013
"Lus10005979.g.BGIv1.0",1.17925376878164,1.91761393653143,3.92509840841883e-05,0.000320729234797698
"Lus10031356.g.BGIv1.0",-1.11940603739512,1.94688203065843,3.92777274361178e-05,0.000320827149450484
"Lus10028628.g.BGIv1.0",-2.11887837002765,0.5520820957524,3.96563942595322e-05,0.000323798481377935
"Lus10007841.g.BGIv1.0",-3.10945969071259,-0.0854523505435915,3.99722336750418e-05,0.000325887653804903
"Lus10024076.g.BGIv1.0",-2.56920112975759,-0.224608046029281,4.12957120353899e-05,0.000335733289300624
"Lus10011780.g.BGIv1.0",1.2081842054394,2.54490117223442,4.14428505211711e-05,0.000336677659317105
"Lus10029089.g.BGIv1.0",1.21363922907415,1.78427213790525,4.17107853382662e-05,0.00033866446571531
"Lus10040113.g.BGIv1.0",2.26033637741969,0.0436094370442731,4.2103802404013e-05,0.000341600297555962
"Lus10017392.g.BGIv1.0",1.34650051741707,1.37931606450604,4.30480093119908e-05,0.000348740218561601
"Lus10016145.g.BGIv1.0",-2.16236461528574,0.137510478022055,4.31944138332614e-05,0.00034960893167847
"Lus10041430.g.BGIv1.0",1.03614215259933,2.38849212058049,4.36730225767334e-05,0.000353211156173614
"Lus10035020.g.BGIv1.0",-1.45474882569972,1.39888260378411,4.44980049855237e-05,0.000359148305741868
"Lus10038245.g.BGIv1.0",1.02721148638801,2.10480115420494,4.55420426209755e-05,0.000366350506065216
"Lus10041052.g.BGIv1.0",1.54996769144891,1.29945710765232,4.80062134600589e-05,0.000383405861716373
"Lus10038369.g.BGIv1.0",-5.52818147861616,-0.981313221129239,4.836429817869e-05,0.000385698845372562
"Lus10027720.g.BGIv1.0",-1.07928305996037,1.85936441645532,4.85561438053624e-05,0.000386873923636897
"Lus10010713.g.BGIv1.0",2.8597696198866,-0.284753226598318,4.86004252285159e-05,0.000387084845201322
"Lus10026689.g.BGIv1.0",1.70217963132624,0.760143800982872,4.88782841643865e-05,0.000388941587206671
"Lus10036476.g.BGIv1.0",-3.11730503220849,-0.380095218000851,4.95917118647007e-05,0.000394185647553557
"Lus10026389.g.BGIv1.0",1.14188038075185,2.08994469058043,4.96639006978648e-05,0.000394687281030508
"Lus10022062.g.BGIv1.0",1.24738012896278,2.91703663612299,4.97893781634529e-05,0.000395539849806919
"Lus10038332.g.BGIv1.0",-1.27785722284138,1.71335552433301,5.00743543890951e-05,0.000397513195699115
"Lus10022779.g.BGIv1.0",1.64590714867189,0.715806427306963,5.0842105078882e-05,0.000402725428185874
"Lus10019036.g.BGIv1.0",-1.24253744891357,2.96084371467137,5.29333101200199e-05,0.000417161697648184
"Lus10016111.g.BGIv1.0",-1.38102777945427,1.57833044229576,5.32926129789567e-05,0.000419841098008015
"Lus10031140.g.BGIv1.0",-1.42943222368384,1.6969719929118,5.3780463670459e-05,0.000423439252197831
"Lus10020406.g.BGIv1.0",-2.51947355481929,-0.254590803009905,5.37883083121259e-05,0.000423439252197831
"Lus10013594.g.BGIv1.0",-2.8243744635901,-0.284321012332232,5.38209232298656e-05,0.000423619292725962
"Lus10004176.g.BGIv1.0",-1.02026439327263,1.83901259133944,5.39885633801312e-05,0.000424861846252296
"Lus10037245.g.BGIv1.0",-1.58933320882297,0.714552865744383,5.43057832683357e-05,0.000427126235653668
"Lus10006193.g.BGIv1.0",1.0061048761791,1.90848553854614,5.45078719686149e-05,0.000428638151654786
"Lus10018490.g.BGIv1.0",-1.02007808135591,1.98089527419516,5.54690504786009e-05,0.000435645003316217
"Lus10008479.g.BGIv1.0",-1.14427597221185,1.75931312066955,5.59844789035604e-05,0.000439216979320822
"Lus10025269.g.BGIv1.0",-2.44691976670982,0.350717148890752,5.74004804354584e-05,0.000448706399030716
"Lus10025624.g.BGIv1.0",1.95953725531117,1.19105147591345,5.87456831226491e-05,0.000458809484553482
"Lus10026981.g.BGIv1.0",-1.16551520843871,1.50916390025703,5.91458310881476e-05,0.000461768754172569
"Lus10002330.g.BGIv1.0",-1.39180618306015,2.35627782287812,5.95600774637287e-05,0.000464706207016025
"Lus10010603.g.BGIv1.0",2.2232194573937,0.159549238731637,6.12538120687342e-05,0.000476259070727945
"Lus10030563.g.BGIv1.0",-1.6259858713025,1.01716334107519,6.12819838769014e-05,0.000476307727715498
"Lus10017231.g.BGIv1.0",-3.86894585571288,-0.79496246394242,6.13425576243365e-05,0.000476693300408926
"Lus10033452.g.BGIv1.0",1.31479051026649,1.32970029678581,6.15116323320974e-05,0.000477580312396608
"Lus10003749.g.BGIv1.0",-2.31280516587389,0.388656887473263,6.19457700407797e-05,0.00048052187177779
"Lus10042026.g.BGIv1.0",1.23636636532335,1.60566288605426,6.46142952272929e-05,0.000499262002812948
"Lus10008976.g.BGIv1.0",1.26298217139678,1.42781495114191,6.49910942188082e-05,0.000501549415371172
"Lus10028561.g.BGIv1.0",-1.92393167340776,0.501276448105485,6.54626648538856e-05,0.000504651091304001
"Lus10030678.g.BGIv1.0",-2.42669794853971,0.93899579392188,6.61493763069836e-05,0.00050931270588751
"Lus10016995.g.BGIv1.0",-1.57056286173289,0.699097115394918,6.65670436483504e-05,0.000512165655652644
"Lus10017196.g.BGIv1.0",-1.77208978244075,0.84588096782103,6.67761449388698e-05,0.000513501821446597
"Lus10009299.g.BGIv1.0",-1.04466776399116,2.7922863212676,6.92576400140725e-05,0.000530893822791703
"Lus10018473.g.BGIv1.0",2.28607822950039,-0.0846119971007466,6.95389822187873e-05,0.000532768610509852
"Lus10003132.g.BGIv1.0",-1.19631537057002,1.63484657356174,7.14440159299659e-05,0.000545824748065298
